,precision,recall,f1-score,support
Easy,0.8904472082561524,0.9146507203044305,0.9023866988468758,3679.0
Hard,0.8820301783264746,0.8499669530733642,0.865701783911141,1513.0
Medium,0.796250616674889,0.778957528957529,0.7875091485728226,2072.0
accuracy,0.8624724669603524,0.8624724669603524,0.8624724669603524,0.8624724669603524
macro avg,0.8562426677525053,0.8478584007784412,0.8518658771102797,7264.0
weighted avg,0.8618251950347895,0.8624724669603524,0.8619777560515006,7264.0
