,precision,recall,f1-score,support
Easy,0.8508991008991009,0.9260668659961946,0.8868931407002473,3679.0
Hard,0.8325907065563335,0.8645076007931263,0.8482490272373541,1513.0
Medium,0.822380106571936,0.6703667953667953,0.7386333421962245,2072.0
accuracy,0.8403083700440529,0.8403083700440529,0.8403083700440529,0.8403083700440529
macro avg,0.8352899713424567,0.8203137540520388,0.8245918367112752,7264.0
weighted avg,0.8389508689488678,0.8403083700440529,0.8365540924940672,7264.0
