,precision,recall,f1-score,support
Easy,0.8939919893190921,0.9100298994291928,0.9019396551724138,3679.0
Hard,0.8570487483530962,0.8598810310641111,0.8584625536126691,1513.0
Medium,0.7881059470264867,0.7611003861003861,0.7743677878713479,2072.0
accuracy,0.8571035242290749,0.8571035242290749,0.8571035242290749,0.8571035242290749
macro avg,0.8463822282328918,0.8436704388645633,0.8449233322188103,7264.0
weighted avg,0.8560939987888291,0.8571035242290749,0.8564950291113314,7264.0
