,precision,recall,f1-score,support
Easy,0.9157108562283276,0.9331340038053819,0.9243403338718363,3679.0
Hard,0.8637830858618464,0.88433575677462,0.8739386022207707,1513.0
Medium,0.8346897253306206,0.791988416988417,0.812778603268945,2072.0
accuracy,0.8827092511013216,0.8827092511013216,0.8827092511013216,0.8827092511013216
macro avg,0.8713945558069315,0.8698193925228063,0.8703525131205173,7264.0
weighted avg,0.8817843006412497,0.8827092511013216,0.8820201623689105,7264.0
